CO2 emission estimates,Year,Series,Value
Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.718
Bahrain,1995,Emissions per capita (metric tons of carbon dioxide),23.861
Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),23.133
Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),20.589
Bahrain,2015,Emissions per capita (metric tons of carbon dioxide),21.919
Bahrain,2016,Emissions per capita (metric tons of carbon dioxide),20.799
Bahrain,2017,Emissions per capita (metric tons of carbon dioxide),19.969
Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),4409.654
Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),7705.068
Bangladesh,1995,Emissions (thousand metric tons of carbon dioxide),16485.473
Bangladesh,2005,Emissions (thousand metric tons of carbon dioxide),31960.244
Bangladesh,2010,Emissions (thousand metric tons of carbon dioxide),49899.502
Bangladesh,2015,Emissions (thousand metric tons of carbon dioxide),70895.346
Bangladesh,2016,Emissions (thousand metric tons of carbon dioxide),72943.639
Bangladesh,2017,Emissions (thousand metric tons of carbon dioxide),78270.17
Bangladesh,1975,Emissions per capita (metric tons of carbon dioxide),0.062
Bangladesh,1985,Emissions per capita (metric tons of carbon dioxide),0.083
Bangladesh,1995,Emissions per capita (metric tons of carbon dioxide),0.139
Bangladesh,2005,Emissions per capita (metric tons of carbon dioxide),0.223
Bangladesh,2010,Emissions per capita (metric tons of carbon dioxide),0.328
Bangladesh,2015,Emissions per capita (metric tons of carbon dioxide),0.44
Bangladesh,2016,Emissions per capita (metric tons of carbon dioxide),0.448
Bangladesh,2017,Emissions per capita (metric tons of carbon dioxide),0.475
Belarus,1995,Emissions (thousand metric tons of carbon dioxide),56957.863
Belarus,2005,Emissions (thousand metric tons of carbon dioxide),55014.16
Belarus,2010,Emissions (thousand metric tons of carbon dioxide),59498.259
Belarus,2015,Emissions (thousand metric tons of carbon dioxide),52618.265
Belarus,2016,Emissions (thousand metric tons of carbon dioxide),53062.826
Belarus,2017,Emissions (thousand metric tons of carbon dioxide),54070.453
Belarus,1995,Emissions per capita (metric tons of carbon dioxide),5.587
Belarus,2005,Emissions per capita (metric tons of carbon dioxide),5.693
Belarus,2010,Emissions per capita (metric tons of carbon dioxide),6.269
Belarus,2015,Emissions per capita (metric tons of carbon dioxide),5.545
Belarus,2016,Emissions per capita (metric tons of carbon dioxide),5.584
Belarus,2017,Emissions per capita (metric tons of carbon dioxide),5.687
Belgium,1975,Emissions (thousand metric tons of carbon dioxide),115556.917
Belgium,1985,Emissions (thousand metric tons of carbon dioxide),100991.897
Belgium,1995,Emissions (thousand metric tons of carbon dioxide),111313.683
Belgium,2005,Emissions (thousand metric tons of carbon dioxide),107676.772
Belgium,2010,Emissions (thousand metric tons of carbon dioxide),103890.892
Belgium,2015,Emissions (thousand metric tons of carbon dioxide),92789.797
Belgium,2016,Emissions (thousand metric tons of carbon dioxide),91932.287
Belgium,2017,Emissions (thousand metric tons of carbon dioxide),90368.188
Belgium,1975,Emissions per capita (metric tons of carbon dioxide),11.813
Belgium,1985,Emissions per capita (metric tons of carbon dioxide),10.246
Belgium,1995,Emissions per capita (metric tons of carbon dioxide),10.981
Belgium,2005,Emissions per capita (metric tons of carbon dioxide),10.275
Belgium,2010,Emissions per capita (metric tons of carbon dioxide),9.535
Belgium,2015,Emissions per capita (metric tons of carbon dioxide),8.257
Belgium,2016,Emissions per capita (metric tons of carbon dioxide),8.139
Belgium,2017,Emissions per capita (metric tons of carbon dioxide),7.963
Benin,1975,Emissions (thousand metric tons of carbon dioxide),462.751
Benin,1985,Emissions (thousand metric tons of carbon dioxide),472.814
Benin,1995,Emissions (thousand metric tons of carbon dioxide),221.525
Benin,2005,Emissions (thousand metric tons of carbon dioxide),2677.863
Benin,2010,Emissions (thousand metric tons of carbon dioxide),4573.129
Benin,2015,Emissions (thousand metric tons of carbon dioxide),5261.645
Benin,2016,Emissions (thousand metric tons of carbon dioxide),6602.646
Benin,2017,Emissions (thousand metric tons of carbon dioxide),6763.074
Benin,1975,Emissions per capita (metric tons of carbon dioxide),0.142
Benin,1985,Emissions per capita (metric tons of carbon dioxide),0.11
Benin,1995,Emissions per capita (metric tons of carbon dioxide),0.038
Benin,2005,Emissions per capita (metric tons of carbon dioxide),0.335
Benin,2010,Emissions per capita (metric tons of carbon dioxide),0.497
Benin,2015,Emissions per capita (metric tons of carbon dioxide),0.498
Benin,2016,Emissions per capita (metric tons of carbon dioxide),0.607
Benin,2017,Emissions per capita (metric tons of carbon dioxide),0.605
Bolivia (Plurin. State of),1975,Emissions (thousand metric tons of carbon dioxide),3224.491
Bolivia (Plurin. State of),1985,Emissions (thousand metric tons of carbon dioxide),4313.546
Bolivia (Plurin. State of),1995,Emissions (thousand metric tons of carbon dioxide),6893.805
Bolivia (Plurin. State of),2005,Emissions (thousand metric tons of carbon dioxide),8975.809
Bolivia (Plurin. State of),2010,Emissions (thousand metric tons of carbon dioxide),13637.623
Bolivia (Plurin. State of),2015,Emissions (thousand metric tons of carbon dioxide),18099.998
Bolivia (Plurin. State of),2016,Emissions (thousand metric tons of carbon dioxide),20126.218
Bolivia (Plurin. State of),2017,Emissions (thousand metric tons of carbon dioxide),21899.18
Bolivia (Plurin. State of),1975,Emissions per capita (metric tons of carbon dioxide),0.644
Bolivia (Plurin. State of),1985,Emissions per capita (metric tons of carbon dioxide),0.694
Bolivia (Plurin. State of),1995,Emissions per capita (metric tons of carbon dioxide),0.911
Bolivia (Plurin. State of),2005,Emissions per capita (metric tons of carbon dioxide),0.984
Bolivia (Plurin. State of),2010,Emissions per capita (metric tons of carbon dioxide),1.375
Bolivia (Plurin. State of),2015,Emissions per capita (metric tons of carbon dioxide),1.688
Bolivia (Plurin. State of),2016,Emissions per capita (metric tons of carbon dioxide),1.848
Bolivia (Plurin. State of),2017,Emissions per capita (metric tons of carbon dioxide),1.981
Bosnia and Herzegovina,1995,Emissions (thousand metric tons of carbon dioxide),3279.823
Bosnia and Herzegovina,2005,Emissions (thousand metric tons of carbon dioxide),15857.733
Bosnia and Herzegovina,2010,Emissions (thousand metric tons of carbon dioxide),20482.682
Bosnia and Herzegovina,2015,Emissions (thousand metric tons of carbon dioxide),19306.465
Bosnia and Herzegovina,2016,Emissions (thousand metric tons of carbon dioxide),22019.403
Bosnia and Herzegovina,2017,Emissions (thousand metric tons of carbon dioxide),22327.978
Bosnia and Herzegovina,1995,Emissions per capita (metric tons of carbon dioxide),0.853
Bosnia and Herzegovina,2005,Emissions per capita (metric tons of carbon dioxide),4.193
Bosnia and Herzegovina,2010,Emissions per capita (metric tons of carbon dioxide),5.503
Bosnia and Herzegovina,2015,Emissions per capita (metric tons of carbon dioxide),5.46
Bosnia and Herzegovina,2016,Emissions per capita (metric tons of carbon dioxide),6.261
Bosnia and Herzegovina,2017,Emissions per capita (metric tons of carbon dioxide),6.367
Botswana,1985,Emissions (thousand metric tons of carbon dioxide),1500.972
Botswana,1995,Emissions (thousand metric tons of carbon dioxide),3189.755
Botswana,2005,Emissions (thousand metric tons of carbon dioxide),4278.592
Botswana,2010,Emissions (thousand metric tons of carbon dioxide),3271.367
Botswana,2015,Emissions (thousand metric tons of carbon dioxide),7068.888
Botswana,2016,Emissions (thousand metric tons of carbon dioxide),6979.639
Botswana,2017,Emissions (thousand metric tons of carbon dioxide),7717.409
Botswana,1985,Emissions per capita (metric tons of carbon dioxide),1.262
Botswana,1995,Emissions per capita (metric tons of carbon dioxide),2.033
Botswana,2005,Emissions per capita (metric tons of carbon dioxide),2.305
Botswana,2010,Emissions per capita (metric tons of carbon dioxide),1.624
Botswana,2015,Emissions per capita (metric tons of carbon dioxide),3.2
Botswana,2016,Emissions per capita (metric tons of carbon dioxide),3.102
Botswana,2017,Emissions per capita (metric tons of carbon dioxide),3.367
Brazil,1975,Emissions (thousand metric tons of carbon dioxide),129628.181
Brazil,1985,Emissions (thousand metric tons of carbon dioxide),156328.184
Brazil,1995,Emissions (thousand metric tons of carbon dioxide),228000.209
Brazil,2005,Emissions (thousand metric tons of carbon dioxide),311623.799
Brazil,2010,Emissions (thousand metric tons of carbon dioxide),372003.618
Brazil,2015,Emissions (thousand metric tons of carbon dioxide),453633.529
Brazil,2016,Emissions (thousand metric tons of carbon dioxide),418523.728
Brazil,2017,Emissions (thousand metric tons of carbon dioxide),427632.717
Brazil,1975,Emissions per capita (metric tons of carbon dioxide),1.205
Brazil,1985,Emissions per capita (metric tons of carbon dioxide),1.152
Brazil,1995,Emissions per capita (metric tons of carbon dioxide),1.405
Brazil,2005,Emissions per capita (metric tons of carbon dioxide),1.667
Brazil,2010,Emissions per capita (metric tons of carbon dioxide),1.89
Brazil,2015,Emissions per capita (metric tons of carbon dioxide),2.203
Brazil,2016,Emissions per capita (metric tons of carbon dioxide),2.015
Brazil,2017,Emissions per capita (metric tons of carbon dioxide),2.043
Brunei Darussalam,1975,Emissions (thousand metric tons of carbon dioxide),1408.173
Brunei Darussalam,1985,Emissions (thousand metric tons of carbon dioxide),2945.928
Brunei Darussalam,1995,Emissions (thousand metric tons of carbon dioxide),4502.607
Brunei Darussalam,2005,Emissions (thousand metric tons of carbon dioxide),4823.126
Brunei Darussalam,2010,Emissions (thousand metric tons of carbon dioxide),6861.946
Brunei Darussalam,2015,Emissions (thousand metric tons of carbon dioxide),5977.692
Brunei Darussalam,2016,Emissions (thousand metric tons of carbon dioxide),6411.543
Brunei Darussalam,2017,Emissions (thousand metric tons of carbon dioxide),6710.178
Brunei Darussalam,1975,Emissions per capita (metric tons of carbon dioxide),8.692
Brunei Darussalam,1985,Emissions per capita (metric tons of carbon dioxide),13.093
Brunei Darussalam,1995,Emissions per capita (metric tons of carbon dioxide),15.16
Brunei Darussalam,2005,Emissions per capita (metric tons of carbon dioxide),13.214
Brunei Darussalam,2010,Emissions per capita (metric tons of carbon dioxide),17.64
Brunei Darussalam,2015,Emissions per capita (metric tons of carbon dioxide),14.301
Brunei Darussalam,2016,Emissions per capita (metric tons of carbon dioxide),15.157
Brunei Darussalam,2017,Emissions per capita (metric tons of carbon dioxide),15.641
Bulgaria,1975,Emissions (thousand metric tons of carbon dioxide),73315.187
Bulgaria,1985,Emissions (thousand metric tons of carbon dioxide),82206.429
Bulgaria,1995,Emissions (thousand metric tons of carbon dioxide),52737.289
Bulgaria,2005,Emissions (thousand metric tons of carbon dioxide),46473.483
Bulgaria,2010,Emissions (thousand metric tons of carbon dioxide),44362.486
Bulgaria,2015,Emissions (thousand metric tons of carbon dioxide),43715.357
Bulgaria,2016,Emissions (thousand metric tons of carbon dioxide),40548.756
Bulgaria,2017,Emissions (thousand metric tons of carbon dioxide),42819.932
Bulgaria,1975,Emissions per capita (metric tons of carbon dioxide),8.407
Bulgaria,1985,Emissions per capita (metric tons of carbon dioxide),9.174
Bulgaria,1995,Emissions per capita (metric tons of carbon dioxide),6.274
Bulgaria,2005,Emissions per capita (metric tons of carbon dioxide),6.068
Bulgaria,2010,Emissions per capita (metric tons of carbon dioxide),5.998
Bulgaria,2015,Emissions per capita (metric tons of carbon dioxide),6.09
Bulgaria,2016,Emissions per capita (metric tons of carbon dioxide),5.689
Bulgaria,2017,Emissions per capita (metric tons of carbon dioxide),6.051
Cambodia,1995,Emissions (thousand metric tons of carbon dioxide),1470.828
Cambodia,2005,Emissions (thousand metric tons of carbon dioxide),2639.032
Cambodia,2010,Emissions (thousand metric tons of carbon dioxide),4621.82
Cambodia,2015,Emissions (thousand metric tons of carbon dioxide),8011.977
Cambodia,2016,Emissions (thousand metric tons of carbon dioxide),9287.497
Cambodia,2017,Emissions (thousand metric tons of carbon dioxide),10762.923
Cambodia,1995,Emissions per capita (metric tons of carbon dioxide),0.138
Cambodia,2005,Emissions per capita (metric tons of carbon dioxide),0.199
Cambodia,2010,Emissions per capita (metric tons of carbon dioxide),0.323
Cambodia,2015,Emissions per capita (metric tons of carbon dioxide),0.516
Cambodia,2016,Emissions per capita (metric tons of carbon dioxide),0.589
Cambodia,2017,Emissions per capita (metric tons of carbon dioxide),0.672
Cameroon,1975,Emissions (thousand metric tons of carbon dioxide),1019.224
Cameroon,1985,Emissions (thousand metric tons of carbon dioxide),2378.233
Cameroon,1995,Emissions (thousand metric tons of carbon dioxide),2459.446
Cameroon,2005,Emissions (thousand metric tons of carbon dioxide),2935.781
Cameroon,2010,Emissions (thousand metric tons of carbon dioxide),5050.631
Cameroon,2015,Emissions (thousand metric tons of carbon dioxide),5944.767
Cameroon,2016,Emissions (thousand metric tons of carbon dioxide),6103.656
Cameroon,2017,Emissions (thousand metric tons of carbon dioxide),6152.919
Cameroon,1975,Emissions per capita (metric tons of carbon dioxide),0.137
Cameroon,1985,Emissions per capita (metric tons of carbon dioxide),0.237
Cameroon,1995,Emissions per capita (metric tons of carbon dioxide),0.183
Cameroon,2005,Emissions per capita (metric tons of carbon dioxide),0.169
Cameroon,2010,Emissions per capita (metric tons of carbon dioxide),0.253
Cameroon,2015,Emissions per capita (metric tons of carbon dioxide),0.26
Cameroon,2016,Emissions per capita (metric tons of carbon dioxide),0.26
Cameroon,2017,Emissions per capita (metric tons of carbon dioxide),0.256
Canada,1975,Emissions (thousand metric tons of carbon dioxide),377105.855
Canada,1985,Emissions (thousand metric tons of carbon dioxide),393880.167
Canada,1995,Emissions (thousand metric tons of carbon dioxide),448985.855
Canada,2005,Emissions (thousand metric tons of carbon dioxide),540431.495
Canada,2010,Emissions (thousand metric tons of carbon dioxide),528618.581
Canada,2015,Emissions (thousand metric tons of carbon dioxide),557660.685
Canada,2016,Emissions (thousand metric tons of carbon dioxide),548095.275
Canada,2017,Emissions (thousand metric tons of carbon dioxide),547798.641
Canada,1975,Emissions per capita (metric tons of carbon dioxide),16.295
Canada,1985,Emissions per capita (metric tons of carbon dioxide),15.242
Canada,1995,Emissions per capita (metric tons of carbon dioxide),15.323
Canada,2005,Emissions per capita (metric tons of carbon dioxide),16.762
Canada,2010,Emissions per capita (metric tons of carbon dioxide),15.545
Canada,2015,Emissions per capita (metric tons of carbon dioxide),15.619
Canada,2016,Emissions per capita (metric tons of carbon dioxide),15.179
Canada,2017,Emissions per capita (metric tons of carbon dioxide),14.992
Chile,1975,Emissions (thousand metric tons of carbon dioxide),17111.657
Chile,1985,Emissions (thousand metric tons of carbon dioxide),19631.224
Chile,1995,Emissions (thousand metric tons of carbon dioxide),37075.351
Chile,2005,Emissions (thousand metric tons of carbon dioxide),54434.634
Chile,2010,Emissions (thousand metric tons of carbon dioxide),68604.765
Chile,2015,Emissions (thousand metric tons of carbon dioxide),81092.176
Chile,2016,Emissions (thousand metric tons of carbon dioxide),85245.52
Chile,2017,Emissions (thousand metric tons of carbon dioxide),86087.14
Chile,1975,Emissions per capita (metric tons of carbon dioxide),1.643
Chile,1985,Emissions per capita (metric tons of carbon dioxide),1.622
Chile,1995,Emissions per capita (metric tons of carbon dioxide),2.576
Chile,2005,Emissions per capita (metric tons of carbon dioxide),3.343
Chile,2010,Emissions per capita (metric tons of carbon dioxide),4.014
Chile,2015,Emissions per capita (metric tons of carbon dioxide),4.494
Chile,2016,Emissions per capita (metric tons of carbon dioxide),4.664
Chile,2017,Emissions per capita (metric tons of carbon dioxide),4.648
China,1975,Emissions (thousand metric tons of carbon dioxide),1029319.44
China,1985,Emissions (thousand metric tons of carbon dioxide),1626027.131
China,1995,Emissions (thousand metric tons of carbon dioxide),2900265.046
China,2005,Emissions (thousand metric tons of carbon dioxide),5407518.03
China,2010,Emissions (thousand metric tons of carbon dioxide),7832716.615
China,2015,Emissions (thousand metric tons of carbon dioxide),9101375.985
China,2016,Emissions (thousand metric tons of carbon dioxide),9064428.642
China,2017,Emissions (thousand metric tons of carbon dioxide),9257933.9
China,1975,Emissions per capita (metric tons of carbon dioxide),1.123
China,1985,Emissions per capita (metric tons of carbon dioxide),1.547
China,1995,Emissions per capita (metric tons of carbon dioxide),2.407
China,2005,Emissions per capita (metric tons of carbon dioxide),4.148
China,2010,Emissions per capita (metric tons of carbon dioxide),5.855
China,2015,Emissions per capita (metric tons of carbon dioxide),6.637
China,2016,Emissions per capita (metric tons of carbon dioxide),6.575
China,2017,Emissions per capita (metric tons of carbon dioxide),6.678
"China, Hong Kong SAR",1975,Emissions (thousand metric tons of carbon dioxide),10897.089
"China, Hong Kong SAR",1985,Emissions (thousand metric tons of carbon dioxide),22306.16
"China, Hong Kong SAR",1995,Emissions (thousand metric tons of carbon dioxide),36527.226
"China, Hong Kong SAR",2005,Emissions (thousand metric tons of carbon dioxide),41332.022
"China, Hong Kong SAR",2010,Emissions (thousand metric tons of carbon dioxide),41997.165
"China, Hong Kong SAR",2015,Emissions (thousand metric tons of carbon dioxide),43917.31
"China, Hong Kong SAR",2016,Emissions (thousand metric tons of carbon dioxide),44728.626
"China, Hong Kong SAR",2017,Emissions (thousand metric tons of carbon dioxide),44034.675
"China, Hong Kong SAR",1975,Emissions per capita (metric tons of carbon dioxide),2.442
"China, Hong Kong SAR",1985,Emissions per capita (metric tons of carbon dioxide),4.088
"China, Hong Kong SAR",1995,Emissions per capita (metric tons of carbon dioxide),5.934
"China, Hong Kong SAR",2005,Emissions per capita (metric tons of carbon dioxide),6.067
"China, Hong Kong SAR",2010,Emissions per capita (metric tons of carbon dioxide),5.979
"China, Hong Kong SAR",2015,Emissions per capita (metric tons of carbon dioxide),6.023
"China, Hong Kong SAR",2016,Emissions per capita (metric tons of carbon dioxide),6.096
"China, Hong Kong SAR",2017,Emissions per capita (metric tons of carbon dioxide),5.957
Colombia,1975,Emissions (thousand metric tons of carbon dioxide),28297.258
Colombia,1985,Emissions (thousand metric tons of carbon dioxide),39473.328
Colombia,1995,Emissions (thousand metric tons of carbon dioxide),54457.808
Colombia,2005,Emissions (thousand metric tons of carbon dioxide),53585.3
Colombia,2010,Emissions (thousand metric tons of carbon dioxide),60224.103
Colombia,2015,Emissions (thousand metric tons of carbon dioxide),77609.792
Colombia,2016,Emissions (thousand metric tons of carbon dioxide),87720.859
Colombia,2017,Emissions (thousand metric tons of carbon dioxide),75291.911
Colombia,1975,Emissions per capita (metric tons of carbon dioxide),1.143
Colombia,1985,Emissions per capita (metric tons of carbon dioxide),1.273
Colombia,1995,Emissions per capita (metric tons of carbon dioxide),1.454
Colombia,2005,Emissions per capita (metric tons of carbon dioxide),1.238
Colombia,2010,Emissions per capita (metric tons of carbon dioxide),1.312
Colombia,2015,Emissions per capita (metric tons of carbon dioxide),1.609
Colombia,2016,Emissions per capita (metric tons of carbon dioxide),1.803
Colombia,2017,Emissions per capita (metric tons of carbon dioxide),1.535
Congo,1975,Emissions (thousand metric tons of carbon dioxide),606.426
Congo,1985,Emissions (thousand metric tons of carbon dioxide),759.835
Congo,1995,Emissions (thousand metric tons of carbon dioxide),536.664
Congo,2005,Emissions (thousand metric tons of carbon dioxide),843.574
Congo,2010,Emissions (thousand metric tons of carbon dioxide),1833.183
Congo,2015,Emissions (thousand metric tons of carbon dioxide),3164.794
Congo,2016,Emissions (thousand metric tons of carbon dioxide),2978.36
Congo,2017,Emissions (thousand metric tons of carbon dioxide),2847.335
Congo,1975,Emissions per capita (metric tons of carbon dioxide),0.381
Congo,1985,Emissions per capita (metric tons of carbon dioxide),0.357
